station,category,location_x,location_y,year,crime_count
Carolina,Sexual Offences,30.11998,-26.07128,2005,24
Carolina,Burglary at non-residential premises,30.11998,-26.07128,2005,64
Carolina,Stock-theft,30.11998,-26.07128,2005,76
Carolina,Assault with the intent to inflict grievous bodily harm,30.11998,-26.07128,2005,118
Carolina,Arson,30.11998,-26.07128,2005,6
Carolina,Murder,30.11998,-26.07128,2005,6
Carolina,Truck hijacking,30.11998,-26.07128,2005,0
Carolina,Illegal possession of firearms and ammunition,30.11998,-26.07128,2005,1
Carolina,Robbery at residential premises,30.11998,-26.07128,2005,0
Carolina,Carjacking,30.11998,-26.07128,2005,1
Carolina,Driving under the influence of alcohol or drugs,30.11998,-26.07128,2005,8
Carolina,Robbery at non-residential premises,30.11998,-26.07128,2005,0
Carolina,Attempted murder,30.11998,-26.07128,2005,6
Charl Cilliers,Commercial crime,29.1875,-26.65976,2005,0
Charl Cilliers,Theft of motor vehicle and motorcycle,29.1875,-26.65976,2005,0
Charl Cilliers,Attempted murder,29.1875,-26.65976,2005,1
Charl Cilliers,Murder,29.1875,-26.65976,2005,1
Charl Cilliers,Carjacking,29.1875,-26.65976,2005,1
Charl Cilliers,Drug-related crime,29.1875,-26.65976,2005,0
Charl Cilliers,Arson,29.1875,-26.65976,2005,0
Charl Cilliers,Shoplifting,29.1875,-26.65976,2005,0
Charl Cilliers,Burglary at non-residential premises,29.1875,-26.65976,2005,0
Charl Cilliers,Common robbery,29.1875,-26.65976,2005,2
Charl Cilliers,Robbery at residential premises,29.1875,-26.65976,2005,0
Charl Cilliers,Illegal possession of firearms and ammunition,29.1875,-26.65976,2005,0
Charl Cilliers,Robbery with aggravating circumstances,29.1875,-26.65976,2005,2
Charl Cilliers,Truck hijacking,29.1875,-26.65976,2005,0
Charl Cilliers,Robbery at non-residential premises,29.1875,-26.65976,2005,0
Charl Cilliers,Sexual Offences,29.1875,-26.65976,2005,2
Charl Cilliers,Sexual offences as result of police action,29.1875,-26.65976,2005,0
Charl Cilliers,All theft not mentioned elsewhere,29.1875,-26.65976,2005,27
Charl Cilliers,Malicious damage to property,29.1875,-26.65976,2005,13
Charl Cilliers,Stock-theft,29.1875,-26.65976,2005,11
Charl Cilliers,Driving under the influence of alcohol or drugs,29.1875,-26.65976,2005,1
Charl Cilliers,Theft out of or from motor vehicle,29.1875,-26.65976,2005,7
Charl Cilliers,Burglary at residential premises,29.1875,-26.65976,2005,10
Charl Cilliers,Common assault,29.1875,-26.65976,2005,14
Charl Cilliers,Bank robbery,29.1875,-26.65976,2005,0
Charl Cilliers,Robbery of cash in transit,29.1875,-26.65976,2005,0
Charl Cilliers,Assault with the intent to inflict grievous bodily harm,29.1875,-26.65976,2005,17
Chrissiesmeer,Bank robbery,30.21357,-26.28052,2005,0
Chrissiesmeer,Stock-theft,30.21357,-26.28052,2005,31
Chrissiesmeer,Sexual Offences,30.21357,-26.28052,2005,18
Chrissiesmeer,Attempted murder,30.21357,-26.28052,2005,3
Chrissiesmeer,Driving under the influence of alcohol or drugs,30.21357,-26.28052,2005,2
Chrissiesmeer,Drug-related crime,30.21357,-26.28052,2005,3
Chrissiesmeer,Robbery with aggravating circumstances,30.21357,-26.28052,2005,3
